fast,slow,signal,win,lose,result,winrate
3,13,6,273,170,1320808.5699999996,61.62528216704289
6,13,3,273,170,1320808.5699999996,61.62528216704289
4,21,6,220,137,1052850.8699999996,61.62464985994398
6,21,4,220,137,1052850.8699999996,61.62464985994398
2,21,7,281,175,1377850.5400000003,61.62280701754386
3,22,4,281,175,1371486.4500000002,61.62280701754386
4,22,3,281,175,1371486.4500000002,61.62280701754386
7,21,2,281,175,1377850.5400000003,61.62280701754386
3,18,9,223,139,1067263.7899999996,61.60220994475138
9,18,3,223,139,1067263.7899999996,61.60220994475138
5,21,5,218,136,1049525.6699999997,61.5819209039548
3,23,7,234,146,1148357.64,61.578947368421055
7,23,3,234,146,1148357.64,61.578947368421055
4,17,5,250,156,1179498.6499999997,61.576354679802954
5,17,4,250,156,1179498.6499999997,61.576354679802954
3,17,5,274,171,1326266.2499999998,61.57303370786517
5,17,3,274,171,1326266.2499999998,61.57303370786517
5,16,9,173,108,758584.3099999994,61.56583629893238
9,16,5,173,108,758584.3099999994,61.56583629893238
4,15,7,221,138,1019071.8799999995,61.559888579387184
5,19,5,221,138,1056226.7799999996,61.559888579387184
7,15,4,221,138,1019071.8799999995,61.559888579387184
4,19,5,245,153,1158547.0499999996,61.55778894472362
5,19,4,245,153,1158547.0499999996,61.55778894472362
3,12,8,256,160,1214670.6699999995,61.53846153846154
3,14,8,248,155,1179988.7499999998,61.53846153846154
5,12,8,200,125,920226.5099999994,61.53846153846154
5,17,6,208,130,990726.33,61.53846153846154
5,20,9,160,100,679199.8099999999,61.53846153846154
6,17,5,208,130,990726.33,61.53846153846154
7,21,7,144,90,542264.41,61.53846153846154
8,12,3,256,160,1214670.6699999995,61.53846153846154
8,12,5,200,125,920226.5099999994,61.53846153846154
8,14,3,248,155,1179988.7499999998,61.53846153846154
9,14,9,128,80,439125.26000000024,61.53846153846154
9,18,9,120,75,417256.01000000053,61.53846153846154
9,20,5,160,100,679199.8099999999,61.53846153846154
3,16,4,291,182,1425560.0000000007,61.52219873150106
4,16,3,291,182,1425560.0000000007,61.52219873150106
3,13,8,251,157,1194315.8199999998,61.51960784313726
8,13,3,251,157,1194315.8199999998,61.51960784313726
2,18,5,310,194,1546193.150000001,61.507936507936506
5,18,2,310,194,1546193.150000001,61.507936507936506
2,10,9,294,184,1425695.7000000007,61.50627615062761
9,10,2,294,184,1425695.7000000007,61.50627615062761
4,19,3,286,179,1381298.1000000003,61.505376344086024
3,12,9,246,154,1167553.5499999998,61.5
4,18,5,246,154,1157215.0499999996,61.5
5,18,4,246,154,1157215.0499999996,61.5
9,12,3,246,154,1167553.5499999998,61.5
3,15,9,230,144,1127067.15,61.49732620320856
9,15,3,230,144,1127067.15,61.49732620320856
5,19,6,206,129,980327.3999999998,61.492537313432834
6,19,5,206,129,980327.3999999998,61.492537313432834
5,16,7,198,124,926878.2099999996,61.49068322981366
7,16,5,198,124,926878.2099999996,61.49068322981366
2,21,6,289,181,1433785.1700000006,61.48936170212766
6,21,2,289,181,1433785.1700000006,61.48936170212766
5,12,5,241,151,1122566.3999999997,61.47959183673469
6,23,7,158,99,658199.8399999999,61.478599221789885
7,23,6,158,99,658199.8399999999,61.478599221789885
5,21,6,201,126,950851.6699999995,61.46788990825688
6,21,5,201,126,950851.6699999995,61.46788990825688
3,11,9,252,158,1200197.2999999998,61.46341463414634
4,11,6,252,158,1222310.7499999995,61.46341463414634
6,11,4,252,158,1222310.7499999995,61.46341463414634
9,11,3,252,158,1200197.2999999998,61.46341463414634
4,10,7,244,153,1150852.2599999998,61.46095717884131
7,10,4,244,153,1150852.2599999998,61.46095717884131
5,17,9,169,106,723257.9699999997,61.45454545454545
9,17,5,169,106,723257.9699999997,61.45454545454545
3,18,5,271,170,1309390.3499999996,61.45124716553288
5,18,3,271,170,1309390.3499999996,61.45124716553288
3,22,5,263,165,1249407.4199999997,61.44859813084112
5,22,3,263,165,1249407.4199999997,61.44859813084112
3,23,4,282,177,1384110.3700000003,61.43790849673203
3,24,4,282,177,1384110.3700000003,61.43790849673203
4,23,3,282,177,1384110.3700000003,61.43790849673203
4,24,3,282,177,1384110.3700000003,61.43790849673203
3,19,8,231,145,1132435.0899999996,61.43617021276596
8,19,3,231,145,1132435.0899999996,61.43617021276596
2,11,7,301,189,1482177.0500000007,61.42857142857143
4,24,4,258,162,1227871.5699999998,61.42857142857143
7,11,2,301,189,1482177.0500000007,61.42857142857143
5,15,7,199,125,922263.1599999995,61.41975308641975
6,14,6,199,125,916543.0099999995,61.41975308641975
7,15,5,199,125,922263.1599999995,61.41975308641975
5,14,6,218,137,991825.0299999997,61.40845070422535
6,14,5,218,137,991825.0299999997,61.40845070422535
2,23,6,288,181,1424968.8400000005,61.40724946695096
6,23,2,288,181,1424968.8400000005,61.40724946695096
4,13,9,210,132,992272.9099999997,61.40350877192982
4,20,5,245,154,1169231.7999999998,61.40350877192982
5,11,5,245,154,1158468.7599999998,61.40350877192982
5,18,8,175,110,772626.8799999994,61.40350877192982
5,20,4,245,154,1169231.7999999998,61.40350877192982
7,19,8,140,88,511014.7300000003,61.40350877192982
8,18,5,175,110,772626.8799999994,61.40350877192982
8,19,7,140,88,511014.7300000003,61.40350877192982
9,13,4,210,132,992272.9099999997,61.40350877192982
2,13,6,307,193,1526015.4000000006,61.4
6,13,2,307,193,1526015.4000000006,61.4
3,21,5,264,166,1253724.1999999995,61.395348837209305
5,21,3,264,166,1253724.1999999995,61.395348837209305
3,16,9,229,144,1125581.4699999997,61.394101876675606
9,16,3,229,144,1125581.4699999997,61.394101876675606
3,14,7,256,161,1214742.3699999996,61.39088729016787
7,14,3,256,161,1214742.3699999996,61.39088729016787
2,23,4,318,200,1580534.7000000002,61.38996138996139
4,23,2,318,200,1580534.7000000002,61.38996138996139
2,20,7,283,178,1400055.0400000003,61.388286334056396
7,20,2,283,178,1400055.0400000003,61.388286334056396
2,16,5,310,195,1546220.8000000007,61.386138613861384
2,17,5,310,195,1544029.4000000006,61.386138613861384
5,13,9,186,117,822472.8599999995,61.386138613861384
5,16,2,310,195,1546220.8000000007,61.386138613861384
5,17,2,310,195,1544029.4000000006,61.386138613861384
9,13,5,186,117,822472.8599999995,61.386138613861384
4,12,9,213,134,979138.4299999995,61.38328530259366
9,12,4,213,134,979138.4299999995,61.38328530259366
3,20,5,267,168,1267059.0499999998,61.37931034482759
5,20,3,267,168,1267059.0499999998,61.37931034482759
2,18,9,259,163,1256904.6399999997,61.37440758293839
4,22,4,259,163,1244185.7699999996,61.37440758293839
9,18,2,259,163,1256904.6399999997,61.37440758293839
5,17,5,224,141,1048589.4299999997,61.36986301369863
2,10,8,297,187,1446107.4500000007,61.36363636363637
3,13,9,243,153,1147292.0799999996,61.36363636363637
8,10,2,297,187,1446107.4500000007,61.36363636363637
9,13,3,243,153,1147292.0799999996,61.36363636363637
2,22,6,289,182,1435403.5200000007,61.3588110403397
3,17,4,289,182,1413004.0000000007,61.3588110403397
4,17,3,289,182,1413004.0000000007,61.3588110403397
6,22,2,289,182,1435403.5200000007,61.3588110403397
3,23,5,262,165,1240161.3199999998,61.35831381733021
5,23,3,262,165,1240161.3199999998,61.35831381733021
4,16,8,208,131,996613.2299999999,61.35693215339233
8,16,4,208,131,996613.2299999999,61.35693215339233
3,15,4,292,184,1443904.6000000008,61.34453781512605
4,15,3,292,184,1443904.6000000008,61.34453781512605
